"ONTOLOGY" "ID" "Description" "GeneRatio" "BgRatio" "pvalue" "p.adjust" "qvalue" "geneID" "Count"
"GO:1903513" "BP" "GO:1903513" "endoplasmic reticulum to cytosol transport" "11/2723" "29/18862" 0.00155420620713335 0.00647287371553912 0.0038620845767981 "UBE2G2/SEC61B/VCP/SYVN1/DERL1/FAF2/OS9/SELENOS/NPLOC4/AUP1/ERLEC1" 11
"GO:0001704" "BP" "GO:0001704" "formation of primary germ layer" "29/2723" "115/18862" 0.00156834995695874 0.00652652617607906 0.00389409668601957 "SMAD2/SNAI1/COL6A1/MMP9/NF2/MMP2/MMP14/SRF/EPHA2/ITGB1/CTR9/FGFR2/SOX2/SMAD3/BMPR1A/ITGB4/TLX2/HMGA2/PRKACA/WNT5A/WNT11/KDM6B/MACROH2A1/CDC73/FN1/HSBP1/TXNRD1/ACVR1/SETD2" 29
"GO:0052548" "BP" "GO:0052548" "regulation of endopeptidase activity" "84/2723" "426/18862" 0.00156921360281113 0.00652652617607906 0.00389409668601957 "APP/ROCK1/HMGB1/EGLN3/TIMP1/ANP32B/AIFM1/DAPK1/MMP9/XIAP/DDX3X/TMED10/CSNK2A1/PML/CYCS/MAP2K5/HGF/PRDX3/JAK2/PSMA3/LYN/SRC/RPS3/XDH/SNCA/NDUFA13/FYN/AKT1/TNF/PARK7/VCP/LAPTM5/TNFAIP8/PTTG1/RIPK1/A2M/PDCD5/CTSD/ANXA2/PSMD14/TFPI/ABCA2/SOX2/SIRT1/MTCH1/MEFV/SMAD3/CCN2/FURIN/HIP1R/PIH1D1/HIP1/GAPDH/NCSTN/TNFRSF10B/CAST/TNFRSF10A/PIDD1/STAT3/MAPT/PAK2/HTRA2/NLE1/HSPE1/HSPD1/CD44/RACK1/YWHAE/GPX1/BCL2L11/PPARG/PSME3/ACVR1C/LCK/COL6A3/HDAC1/EIF2AK3/RAF1/FAM162A/UCHL5/BIRC6/ROCK2/SFN/IFI16" 84
"GO:0000729" "BP" "GO:0000729" "DNA double-strand break processing" "10/2723" "25/18862" 0.00157952136656832 0.00655608091542512 0.00391173072431784 "RBBP8/UBE2V2/BRCA1/UBE2N/MRE11/SMARCAD1/BARD1/KAT5/ATM/BRIP1" 10
"GO:0006851" "BP" "GO:0006851" "mitochondrial calcium ion transmembrane transport" "10/2723" "25/18862" 0.00157952136656832 0.00655608091542512 0.00391173072431784 "AFG3L2/PMPCA/STOML2/VDAC1/PMPCB/SPG7/YME1L1/PHB/OPA1/PSEN2" 10
"GO:1990776" "BP" "GO:1990776" "response to angiotensin" "10/2723" "25/18862" 0.00157952136656832 0.00655608091542512 0.00391173072431784 "ROCK1/CDC6/SRC/CAV1/NFKB1/AHCYL1/CAMK2A/BRIP1/ROCK2/ACTN2" 10
"GO:0051146" "BP" "GO:0051146" "striated muscle cell differentiation" "57/2723" "269/18862" 0.00161565454818213 0.00670152997264203 0.0039985139036712 "KLF5/CDH2/YY1/PGM5/G6PD/EDN1/IGF2/CHUK/ACTC1/BDNF/AFG3L2/CTDP1/PDLIM5/EHD1/MMP14/CD81/CCNB1/SRF/TPM1/AKT1/MTOR/DDX39B/MYOD1/SMYD1/CASP3/IGF1/PLD3/NLN/EHD2/FLOT1/IL4/PIN1/SORT1/MEF2C/EZH2/RBPJ/LOX/TGFB1/CALR/KDM6B/SMYD3/HNRNPU/KLHL41/OBSL1/GPX1/KRAS/NOS1/ZMPSTE24/DYRK1B/TNNT1/KAT2A/GDF15/SHOX2/ACVR1/HDAC4/ACTA1/ACTN2" 57
"GO:0060999" "BP" "GO:0060999" "positive regulation of dendritic spine development" "14/2723" "42/18862" 0.00162503496223218 0.0067313484645936 0.00401630531177376 "PSEN1/CAPRIN1/CAMK2B/FMR1/IL2/ZMYND8/MTOR/CUX2/EIF4G2/DHX36/OPA1/DNM1L/APOE/ACTR2" 14
"GO:2001239" "BP" "GO:2001239" "regulation of extrinsic apoptotic signaling pathway in absence of ligand" "14/2723" "42/18862" 0.00162503496223218 0.0067313484645936 0.00401630531177376 "MAP2K5/TERT/FYN/SNAI2/AKT1/IL1B/TNF/CTNNA1/HSPA1A/HSPA1B/PPP1CA/PRDX2/WWOX/HTRA2" 14
"GO:0072329" "BP" "GO:0072329" "monocarboxylic acid catabolic process" "32/2723" "131/18862" 0.00163169038918918 0.00675436257465574 0.00403003683866983 "ACAA2/MCAT/SLC25A17/ACOT8/TWIST1/PCK2/SLC27A2/AGXT2/LEP/HADHA/HADHB/DECR1/XYLB/ECH1/AKT1/MTOR/CPT1A/TYSND1/ALDH3A2/ACAD10/AKT2/ECHS1/ABCD3/ECI2/SORD/ADIPOQ/ETFA/ACAD11/ETFB/ACACB/AKR1A1/ACADM" 32
"GO:0009749" "BP" "GO:0009749" "response to glucose" "42/2723" "185/18862" 0.00163766241277832 0.00677451865434158 0.00404206310210464 "SMAD2/SMARCB1/EIF2B2/GYS2/TCF7L2/NDUFA9/PCK2/CDK16/TXN2/GPLD1/FKBP1B/SRF/LRP1/CASP3/ENDOG/HIF1A/TGFBR2/DYNLL1/SELENOS/ENY2/CCN2/GCK/PTEN/ADIPOQ/RAB11B/PIH1D1/NME2/NME1/PRKACA/CFTR/ADCY5/RACK1/OPA1/LDHA/PKLR/SMARCA4/EIF2B3/TRA2B/ACVR1C/ATG7/RAF1/LIN28A" 42
"GO:0006637" "BP" "GO:0006637" "acyl-CoA metabolic process" "27/2723" "105/18862" 0.00164569476246126 0.0067953023463032 0.00405446383471606 "PDHA1/SCD5/ACOT8/SCD/PDHA2/ACACA/SLC25A1/ACSL4/ACSBG1/MVD/HMGCS1/ACSL1/DGAT1/ACSL5/AASS/TECR/DLD/OGDH/GPAT4/ACSBG2/PDHB/FASN/ACACB/ACSL3/FAR2/ACLY/PPT1" 27
"GO:0035383" "BP" "GO:0035383" "thioester metabolic process" "27/2723" "105/18862" 0.00164569476246126 0.0067953023463032 0.00405446383471606 "PDHA1/SCD5/ACOT8/SCD/PDHA2/ACACA/SLC25A1/ACSL4/ACSBG1/MVD/HMGCS1/ACSL1/DGAT1/ACSL5/AASS/TECR/DLD/OGDH/GPAT4/ACSBG2/PDHB/FASN/ACACB/ACSL3/FAR2/ACLY/PPT1" 27
"GO:0055021" "BP" "GO:0055021" "regulation of cardiac muscle tissue growth" "20/2723" "70/18862" 0.00164600519148611 0.0067953023463032 0.00405446383471606 "YY1/G6PD/MAPK1/EDN1/TGFBR1/MAPK11/CTDP1/YAP1/FGF2/CCNB1/MTOR/DDX39B/TGFBR2/IGF1/PIN1/FGFR2/MEF2C/PTEN/BMPR1A/RBPJ" 20
"GO:0051648" "BP" "GO:0051648" "vesicle localization" "49/2723" "224/18862" 0.00165729917218876 0.0068373329850608 0.0040795417041188 "LIMK2/LMAN1/PSEN1/CDH2/MX1/MX2/KIF13A/SEC24B/SEC31A/TMED10/TOR1A/ARFGAP2/SEPTIN5/TCIRG1/MYO1E/BET1/DNM1/GOSR2/SCFD1/IKBKG/DYNC1H1/CDK5/RAB11A/PPP6C/RAB1A/USO1/AP3M1/GRIA1/TMED9/GOLGA2/TMED2/PTEN/MYO1B/HTT/MYO1H/RAB11B/SEC13/CLN3/ACTN4/LRRK2/BBS2/FBXW11/DNM2/AP3B1/GORASP1/ANKRD28/FYCO1/CUL3/SNAPIN" 49
"GO:0046394" "BP" "GO:0046394" "carboxylic acid biosynthetic process" "67/2723" "327/18862" 0.00167181165792452 0.00689257651988611 0.00411250313874473 "OTC/MCAT/CBS/PSAT1/EDN1/SCD5/CBSL/ACOT8/EIF6/OSBPL3/OSBP/SCD/ACACA/HPGDS/SHMT2/SLC27A2/MIF/AGXT2/EPHX2/BRCA1/FABP5/PRKAG2/ACSBG1/PTGES2/UGDH/LTA4H/IL1B/PARK7/DHFR/ASS1/ALDH18A1/CH25H/GLUD1/AASS/NDUFAB1/ABCD3/PLOD2/DPYD/SIRT1/GSTM2/GSTM1/ADIPOQ/GSTP1/PTGES3/CLN3/APOA1/TECR/GOT2/PKM/MRI1/ACSBG2/PKLR/PRKAG1/GLUL/ASPA/FASN/ACACB/ACSL3/PHGDH/ACLY/SHMT1/MGLL/SCAP/AKR1A1/PTGS2/GSTM4/MTHFR" 67
"GO:0046902" "BP" "GO:0046902" "regulation of mitochondrial membrane permeability" "21/2723" "75/18862" 0.00168595332378707 0.00694621815427498 0.00414450878846877 "ACAA2/YWHAB/SLC25A5/BNIP3L/RHOT2/DYNLT1/YWHAZ/HK2/YWHAG/HSPA1A/PPIF/TP53/SPG7/HIP1R/VDAC2/GSK3B/CAMK2A/RHOT1/YWHAE/BCL2L11/SFN" 21
"GO:0032602" "BP" "GO:0032602" "chemokine production" "25/2723" "95/18862" 0.00169936389033135 0.00699677773344872 0.00417467550877224 "APP/IL17RA/HMGB1/AIRE/DDX3X/TWIST1/HMOX1/TLR4/MAP2K5/ADAM17/SNAI2/LRP1/IL1B/TNF/HIF1A/EPHA2/IL6/MEFV/ADIPOQ/GSTP1/NOD2/MYD88/ERBIN/WNT5A/F2RL1" 25
"GO:0050678" "BP" "GO:0050678" "regulation of epithelial cell proliferation" "75/2723" "374/18862" 0.00170401855397294 0.00701124311926038 0.00418330638060688 "ATP5F1A/HMGB1/SRSF6/IGF2/ID1/AR/EGF/TWIST1/TGFBR1/HMOX1/TCF7L2/STRAP/TLR4/CCL2/HTRA1/MAP2K5/YAP1/FBXW7/LEP/ADAM17/BRCA2/UHRF1/XDH/SULF1/PRKDC/FGF2/PRKCA/HMGB2/CDK6/SNAI2/AKT1/MTOR/TNF/HIF1A/CAV1/IGF1/DAB2IP/SOX9/AIMP1/FGFR2/SOX2/FGF7/SIRT1/SMAD3/MEF2C/PTEN/EGFR/BMPR1A/PBLD/ACVRL1/GATA2/NME2/SP1/NME1/STAT1/NOD2/TGFB1/HRAS/KDM5B/ERBB2/WNT5A/PGR/DLG1/CDC73/APOE/GPX1/CCND1/PPARG/NF1/ARNT/RTN4/NRAS/CDC42/SFN/WDR77" 75
"GO:0010457" "BP" "GO:0010457" "centriole-centriole cohesion" "7/2723" "14/18862" 0.00174746776322825 0.00715186856903927 0.00426721152143985 "CEP250/RTTN/CEP135/NIN/CTNNB1/CEP68/NEK2" 7
"GO:0030213" "BP" "GO:0030213" "hyaluronan biosynthetic process" "7/2723" "14/18862" 0.00174746776322825 0.00715186856903927 0.00426721152143985 "EGF/CLTC/IL1B/NFKB1/AP2A1/TGFB1/ABCC5" 7
"GO:0035791" "BP" "GO:0035791" "platelet-derived growth factor receptor-beta signaling pathway" "7/2723" "14/18862" 0.00174746776322825 0.00715186856903927 0.00426721152143985 "ABL1/SRC/LRP1/PTPN12/HIP1R/HIP1/LOX" 7
"GO:0038166" "BP" "GO:0038166" "angiotensin-activated signaling pathway" "7/2723" "14/18862" 0.00174746776322825 0.00715186856903927 0.00426721152143985 "ROCK1/SRC/CAV1/AHCYL1/CAMK2A/ROCK2/ACTN2" 7
"GO:0044154" "BP" "GO:0044154" "histone H3-K14 acetylation" "7/2723" "14/18862" 0.00174746776322825 0.00715186856903927 0.00426721152143985 "BRD1/BRPF3/KAT7/SIRT1/KMT2A/BRPF1/KAT2A" 7
"GO:0090239" "BP" "GO:0090239" "regulation of histone H4 acetylation" "7/2723" "14/18862" 0.00174746776322825 0.00715186856903927 0.00426721152143985 "SMARCB1/BRCA1/CTBP1/KAT7/SIRT1/PIH1D1/ZMPSTE24" 7
"GO:1905168" "BP" "GO:1905168" "positive regulation of double-strand break repair via homologous recombination" "7/2723" "14/18862" 0.00174746776322825 0.00715186856903927 0.00426721152143985 "FANCB/WAS/ARID2/FUS/ERCC6/PARP1/ACTR2" 7
"GO:0009161" "BP" "GO:0009161" "ribonucleoside monophosphate metabolic process" "17/2723" "56/18862" 0.00174751012894806 0.00715186856903927 0.00426721152143985 "GART/ADA/PRPS2/ADSL/XDH/HPRT1/GMPS/DPYD/MAGI3/ATIC/UCK2/DHODH/IMPDH2/DLG1/UMPS/GUK1/CAD" 17
"GO:0002699" "BP" "GO:0002699" "positive regulation of immune effector process" "48/2723" "219/18862" 0.0017596000761826 0.00719655344073884 0.00429387305716436 "TRAF6/HMOX1/STX7/TLR4/NOS2/LYN/MSH2/FOXP3/IL2/EXOSC3/STXBP1/CD81/LAMP1/PVR/BTK/DDX58/TP53BP1/RPS19/GPI/IL1B/TNF/LAPTM5/NSD2/HK1/SNX4/ITGAM/IL4/IL6/DHX36/GATA2/MLH1/DDX21/CD1D/NOD2/MYB/TGFB1/PHB/AP1G1/WNT5A/TFRC/HSPD1/F2RL1/RIF1/STXBP2/CD1A/CD1C/CD1B/VAMP8" 48
"GO:0014706" "BP" "GO:0014706" "striated muscle tissue development" "71/2723" "351/18862" 0.00176360997901741 0.00720815442521888 0.0043007948642635 "NDUFV2/FOS/KLF5/YY1/EP300/TAFAZZIN/PGM5/G6PD/MAPK1/EDN1/IGF2/FKBP1A/MYH7/TWIST1/TGFBR1/ACTC1/MAPK11/CTDP1/ARID2/YAP1/PDLIM5/FGF2/DDX17/CCNB1/SRF/CDK5/TPM1/MTOR/DDX39B/MYOD1/SMYD1/CAV1/TGFBR2/TNNI3/IGF1/ACTN3/NLN/FLOT1/PIN1/FGFR2/S1PR1/CREB1/SMAD3/MEF2C/PTEN/BMPR1A/RBPJ/MYOM2/DDX5/LOX/TGFB1/BTG2/WNT5A/CALR/KDM6B/HNRNPU/KLHL41/OBSL1/GPX1/PKP2/EEF2/ZMPSTE24/KAT2A/SHOX2/ACVR1/HDAC4/ACTA1/ACTN2/VAMP5/CDC42/CENPF" 71
"GO:1990845" "BP" "GO:1990845" "adaptive thermogenesis" "36/2723" "153/18862" 0.00177054944794104 0.00723170562413684 0.00431484684891567 "OGT/ID1/SCD/EHMT1/TLR4/EBF2/JAK2/LEP/ADAM17/ATF4/FABP5/DECR1/EPAS1/ARRDC3/DYNC1H1/ACSL1/CXCR4/CAV1/OMA1/ACTN3/IL4/ACHE/ADIPOQ/RBPJ/ZNF423/KDM3A/TLE3/ADRB2/PM20D1/HDAC3/KDM6B/CNOT3/HNRNPU/MFN2/FH/KDM1A" 36
"GO:0010632" "BP" "GO:0010632" "regulation of epithelial cell migration" "61/2723" "293/18862" 0.00177283023880896 0.00723621007109863 0.00431753445814499 "ATP5F1A/HMGB1/EDN1/MMP9/EGF/PFN1/HMOX1/STRAP/TAC1/MAP2K5/JUP/FBXW7/ADAM17/ABL1/SRC/FGF2/PRKCA/GPLD1/NOS3/RAB11A/AKT1/GPI/MTOR/TNF/HSPB1/HIF1A/EPHA2/CSNK2B/MET/TGFBR2/DAB2IP/SOX9/IL4/FGF7/SIRT1/ARF6/MEF2C/ADAM9/PTEN/PBLD/ACVRL1/GATA2/ATP5F1B/SP1/DNAJA4/TGFB1/SCARB1/PIK3C2A/WNT5A/PLK2/CALR/APOE/RHOA/GLUL/PTPN23/PPARG/NF1/PFN2/PTGS2/ROCK2/RTN4" 61
"GO:0002714" "BP" "GO:0002714" "positive regulation of B cell mediated immunity" "13/2723" "38/18862" 0.00180877126916247 0.00737311340840417 0.0043992187749965 "MSH2/IL2/EXOSC3/BTK/TP53BP1/TNF/NSD2/IL4/MLH1/NOD2/TGFB1/TFRC/RIF1" 13
"GO:0002891" "BP" "GO:0002891" "positive regulation of immunoglobulin mediated immune response" "13/2723" "38/18862" 0.00180877126916247 0.00737311340840417 0.0043992187749965 "MSH2/IL2/EXOSC3/BTK/TP53BP1/TNF/NSD2/IL4/MLH1/NOD2/TGFB1/TFRC/RIF1" 13
"GO:0010634" "BP" "GO:0010634" "positive regulation of epithelial cell migration" "40/2723" "175/18862" 0.00182423621643861 0.00743122219998831 0.00443388978475446 "ATP5F1A/HMGB1/EDN1/MMP9/EGF/PFN1/HMOX1/TAC1/ADAM17/ABL1/SRC/FGF2/PRKCA/GPLD1/NOS3/RAB11A/AKT1/GPI/MTOR/HSPB1/HIF1A/MET/TGFBR2/SOX9/FGF7/SIRT1/ARF6/ADAM9/GATA2/ATP5F1B/SP1/TGFB1/SCARB1/PIK3C2A/WNT5A/PLK2/CALR/PTGS2/ROCK2/RTN4" 40
"GO:0016073" "BP" "GO:0016073" "snRNA metabolic process" "15/2723" "47/18862" 0.00184290480664514 0.00749236547135743 0.00447037133772571 "DKC1/MTREX/EXOSC3/EXOSC8/MEPCE/EXOSC7/NOP10/EXOSC4/INTS4/EXOSC2/NHP2/ZCCHC8/LARP7/EXOSC5/EXOSC10" 15
"GO:0032365" "BP" "GO:0032365" "intracellular lipid transport" "15/2723" "47/18862" 0.00184290480664514 0.00749236547135743 0.00447037133772571 "PIP4K2A/RELCH/LRP6/OSBP/NPC2/ACACA/PRKAG2/CPT1A/PCSK9/ANXA2/LDLR/ABCD3/ABCA2/VPS4A/ACACB" 15
"GO:1904707" "BP" "GO:1904707" "positive regulation of vascular associated smooth muscle cell proliferation" "15/2723" "47/18862" 0.00184290480664514 0.00749236547135743 0.00447037133772571 "ADAMTS1/EDN1/MMP9/TERT/JAK2/FGF2/MMP2/DDX39B/TNF/IGF1/BMPR1A/DNMT1/MFN2/JUN/GNAI3" 15
"GO:0070542" "BP" "GO:0070542" "response to fatty acid" "18/2723" "61/18862" 0.00185334537597143 0.00752982846864583 0.00449272389246207 "EDN1/CAT/SCD/PON1/FOXO3/SRC/CCNB1/ACSL1/CPT1A/CDK4/ASS1/XRCC5/SOX9/CREB1/CCN2/ADIPOQ/NME2/NME1" 18
"GO:0048608" "BP" "GO:0048608" "reproductive structure development" "80/2723" "405/18862" 0.00189943907901148 0.00771199885153172 0.00460141710308412 "ADA/FOXA1/SNAI1/ADAMTS1/EIF2S2/MAPK1/SOD1/IGF2/AR/ATRX/EIF2B2/LRP6/TGFBR1/FLNA/PLK4/HSP90AB1/HTRA1/PRDX3/PRDX4/LEP/KIF18A/BRCA2/SRC/MSH2/SULF1/NIPBL/HMGB2/MMP14/TAF4/EPAS1/HSPA5/HMGCS1/AKT1/SMARCC1/CTNNA1/CASP3/HIF1A/AGO4/MAPK3/BMPR1B/GLI3/SOX9/FGFR2/RPS6/TMED2/GPR149/SIRT1/PTEN/RBPJ/GATA2/MAP2K1/PLCD3/PHB/KDM5B/ESR1/REN/WNT5A/ETNK2/IDH1/STC2/PGR/DHX37/DLG1/ATM/CCND1/BRIP1/BCL2L11/PTPN11/PPARG/BPTF/UBB/TRIM28/ASH1L/SETD2/ARNT/DNAJC19/NASP/BIRC6/CSDE1/WDR77" 80
"GO:0048639" "BP" "GO:0048639" "positive regulation of developmental growth" "39/2723" "170/18862" 0.00192362191108048 0.00780502602362445 0.00465692240449298 "GDI1/MAPK1/EDN1/IGF2/L1CAM/BDNF/NEDD4L/YAP1/SLC6A3/LEP/INSR/PRKDC/FGF2/NIPBL/CCNB1/SRF/RAB11A/LRP1/AKT1/MTOR/DDX39B/MYOD1/CXCR4/TGFBR2/IGF1/EIF4G2/ACTN3/PIN1/FGFR2/CREB1/MEF2C/BMPR1A/RBPJ/EZR/BBS2/MAPT/TWF2/FN1/ACACB" 39
"GO:1903532" "BP" "GO:1903532" "positive regulation of secretion by cell" "57/2723" "271/18862" 0.00192851369616288 0.00781970933038188 0.00466568330035722 "EDN1/VPS4B/TMED10/TCF7L2/TLR4/CD2AP/TAC1/PCK2/ATP6AP1/JAK2/ACSL4/LEP/SCAMP5/SNCA/GOLPH3/GPLD1/STXBP1/INS/LAMP1/RAB5A/CDK5/LRP1/SDCBP/IL1B/HIF1A/PPIA/SNX4/IGF1/PPID/DYNLL1/AIMP1/ITGAM/IL4/ACHE/GLUD1/SIRT3/CREB1/ARF6/GCK/ADAM9/EGFR/VPS4A/GATA2/RAB7A/HGS/MYB/TGFB1/CFTR/EZR/AP1G1/DNM1L/F2RL1/PTPN23/PTPN11/CHMP2A/TARDBP/VAMP8" 57
"GO:0001885" "BP" "GO:0001885" "endothelial cell development" "19/2723" "66/18862" 0.00193180075467882 0.00782787073614247 0.00467055285918043 "ROCK1/MSN/VCL/IL1B/TNF/CLIC4/MET/ARHGEF26/TJP1/IKBKB/VEZF1/MYD88/EZR/GPX1/PDE4D/F2RL1/FASN/ROCK2/GSTM3" 19
"GO:0002703" "BP" "GO:0002703" "regulation of leukocyte mediated immunity" "46/2723" "209/18862" 0.00198229982799688 0.00800427213999447 0.00477580396882387 "HMGB1/WAS/TRAF6/HMOX1/STX7/TLR4/NOS2/LEP/LYN/MSH2/FOXP3/IL2/EXOSC3/STXBP1/CD81/LAMP1/PVR/BTK/DDX58/TP53BP1/IL1B/TNF/NSD2/SNX4/ITGAM/IL4/IL6/DHX36/BCL6/GATA2/MLH1/DDX21/SUPT6H/CD1D/NOD2/TGFB1/AP1G1/TFRC/HSPD1/F2RL1/RIF1/STXBP2/CD1A/CD1C/CD1B/VAMP8" 46
"GO:0002756" "BP" "GO:0002756" "MyD88-independent toll-like receptor signaling pathway" "12/2723" "34/18862" 0.00198537175514186 0.00800427213999447 0.00477580396882387 "CHUK/TLR4/IKBKG/RIPK1/IKBKB/IRF3/TBK1/UBA52/UBC/UBB/RPS27A/IKBKE" 12
"GO:0008156" "BP" "GO:0008156" "negative regulation of DNA replication" "12/2723" "34/18862" 0.00198537175514186 0.00800427213999447 0.00477580396882387 "PDS5A/TTF1/CDC6/BRCA2/FBXO5/GTPBP4/GMNN/TP53/ATR/TERF1/BCL6/ATG7" 12
"GO:0009156" "BP" "GO:0009156" "ribonucleoside monophosphate biosynthetic process" "12/2723" "34/18862" 0.00198537175514186 0.00800427213999447 0.00477580396882387 "GART/ADA/PRPS2/ADSL/HPRT1/GMPS/ATIC/UCK2/DHODH/IMPDH2/UMPS/CAD" 12
"GO:0043276" "BP" "GO:0043276" "anoikis" "12/2723" "34/18862" 0.00198537175514186 0.00800427213999447 0.00477580396882387 "TLE1/SRC/IKBKG/PTRH2/SNAI2/AKT1/MTOR/ITGB1/CAV1/TLE5/MYBBP1A/TSC2" 12
"GO:0016053" "BP" "GO:0016053" "organic acid biosynthetic process" "68/2723" "335/18862" 0.00198573989246556 0.00800427213999447 0.00477580396882387 "OTC/MCAT/CBS/PSAT1/EDN1/SCD5/CBSL/ACOT8/EIF6/OSBPL3/OSBP/SCD/ACACA/HPGDS/SHMT2/SLC27A2/MIF/AGXT2/EPHX2/BRCA1/FABP5/PRKAG2/ACSBG1/PTGES2/UGDH/LTA4H/IL1B/PARK7/DHFR/ASS1/ALDH18A1/CH25H/GLUD1/AASS/NDUFAB1/ABCD3/PLOD2/DPYD/SIRT1/GSTM2/GSTM1/ADIPOQ/GSTP1/PTGES3/CLN3/APOA1/TECR/GOT2/PKM/MRI1/ACSBG2/PKLR/PRKAG1/GLUL/ASPA/FASN/ACACB/ACSL3/PHGDH/ACLY/SHMT1/MGLL/SCAP/AKR1A1/PTGS2/CAD/GSTM4/MTHFR" 68
"GO:0033692" "BP" "GO:0033692" "cellular polysaccharide biosynthetic process" "20/2723" "71/18862" 0.00198575789375738 0.00800427213999447 0.00477580396882387 "IGF2/GYS2/INSR/PPP1CB/PGM2/INS/AKT1/MTOR/GYS1/IGF1/PPP1CA/DYRK2/AKT2/PGM2L1/SELENOS/GCK/PASK/GSK3B/B3GALT2/HS2ST1" 20
"GO:0051881" "BP" "GO:0051881" "regulation of mitochondrial membrane potential" "20/2723" "71/18862" 0.00198575789375738 0.00800427213999447 0.00477580396882387 "SOD1/PRDX3/SPART/BNIP3L/ABL1/SRC/BCO2/STOML2/NNT/AKT1/PARK7/VCP/AKT2/MFN1/LRRK2/MAPT/RACK1/UBB/PARP1/NDUFS1" 20
"GO:0043392" "BP" "GO:0043392" "negative regulation of DNA binding" "16/2723" "52/18862" 0.00202090957971849 0.00812995910164421 0.00485079595807382 "SUMO3/PSEN1/ID1/HMOX1/HDAC2/JAK2/FBXW7/SUMO4/NFKBIA/MSX2/HMGA2/NEK2/JUN/SUMO1/KDM1A/IFI16" 16
"GO:0051496" "BP" "GO:0051496" "positive regulation of stress fiber assembly" "16/2723" "52/18862" 0.00202090957971849 0.00812995910164421 0.00485079595807382 "TGFBR1/TAC1/NF2/ABL1/TPM1/MTOR/EPHA1/ARHGEF15/SMAD3/CCN2/APOA1/WNT11/RHOA/PFN2/ROCK2/CDC42" 16
"GO:0072666" "BP" "GO:0072666" "establishment of protein localization to vacuole" "16/2723" "52/18862" 0.00202090957971849 0.00812995910164421 0.00485079595807382 "VPS41/CLU/HSPA8/VTI1B/GOSR2/VTI1A/LAPTM5/AP3M1/VPS28/SORT1/NEDD4/VPS4A/RAB7A/HGS/AP3B1/GCC2" 16
"GO:0030512" "BP" "GO:0030512" "negative regulation of transforming growth factor beta receptor signaling pathway" "23/2723" "86/18862" 0.00203011711152734 0.00816165537703696 0.00486970775856862 "SMAD2/ONECUT2/TGFBR1/STRAP/HTRA1/ADAM17/HSPA5/HSPA1A/CAV1/TGFBR2/FBN2/TP53/PIN1/SIRT1/SMAD3/PBLD/FBN1/TGFB1/UBA52/DNM2/UBC/UBB/RPS27A" 23
"GO:0048167" "BP" "GO:0048167" "regulation of synaptic plasticity" "40/2723" "176/18862" 0.0020383402801229 0.00818935535696206 0.00488623514191453 "APP/AKAP5/DRD5/PSEN1/MAPK1/EIF2AK4/STAU1/CAMK2B/PICK1/ABL1/ATF4/RAB8A/FMR1/STXBP1/INS/RAB5A/SRF/CDK5/RAB11A/CX3CL1/YWHAG/SQSTM1/EIF4EBP2/GRIA1/CREB1/MEF2C/PTEN/CLN3/NCSTN/HRAS/MAPT/PLK2/GSK3B/CAMK2A/APOE/DLG4/KRAS/ERC1/KAT2A/CDC20" 40
"GO:0051047" "BP" "GO:0051047" "positive regulation of secretion" "61/2723" "295/18862" 0.00209628565440944 0.00841665540852102 0.00502185527943148 "EDN1/VPS4B/SNX5/TMED10/TCF7L2/TLR4/CD2AP/TAC1/PCK2/ATP6AP1/JAK2/ACSL4/LEP/SCAMP5/SNCA/GOLPH3/GPLD1/STXBP1/INS/LAMP1/RAB5A/CDK5/LRP1/SDCBP/IL1B/HIF1A/PPIA/SNX4/IGF1/PLA2R1/PPID/DYNLL1/AIMP1/ITGAM/IL4/ACHE/GLUD1/SIRT3/CREB1/ARF6/GCK/ADAM9/EGFR/VPS4A/GATA2/RAB7A/HGS/MYB/TGFB1/CFTR/EZR/AP1G1/DNM1L/F2RL1/PTPN23/PTPN11/NPPB/ACSL3/CHMP2A/TARDBP/VAMP8" 61
"GO:0007549" "BP" "GO:0007549" "dosage compensation" "8/2723" "18/18862" 0.00210636502094453 0.0084350719189454 0.00503284361691405 "BRCA1/METTL3/MACROH2A2/RBM15B/UPF1/HNRNPU/MACROH2A1/EXOSC10" 8
"GO:0032930" "BP" "GO:0032930" "positive regulation of superoxide anion generation" "8/2723" "18/18862" 0.00210636502094453 0.0084350719189454 0.00503284361691405 "SOD1/ITGAM/EGFR/GSTP1/TGFB1/MAPT/F2RL1/GNAI3" 8
"GO:0045116" "BP" "GO:0045116" "protein neddylation" "8/2723" "18/18862" 0.00210636502094453 0.0084350719189454 0.00503284361691405 "RBX1/NEDD8/NAE1/EPAS1/HIF1A/DCUN1D5/RPL11/RPL5" 8
"GO:0071243" "BP" "GO:0071243" "cellular response to arsenic-containing substance" "8/2723" "18/18862" 0.00210636502094453 0.0084350719189454 0.00503284361691405 "DDX3X/HMOX1/SLC38A2/ATF4/VCP/PPIF/DHX36/HNRNPA1" 8
"GO:0046685" "BP" "GO:0046685" "response to arsenic-containing substance" "11/2723" "30/18862" 0.00213746759667378 0.00854847880622854 0.00510050861541811 "RNF4/DDX3X/HMOX1/SLC38A2/ATF4/VCP/PPIF/SRRT/DHX36/PTEN/HNRNPA1" 11
